Case -H_Brem_II_max[A/m] -H_Brem_IV_max[A/m] A_gap[m2] A_magnet[m2] B_high[T] B_low[T] B_rem_II[T] B_rem_IV[T] H_c_II H_c_IV R_c[m] R_e[m] R_g[m] R_i[m] R_o[m] R_s[m] alpha_rem_II_1[deg] alpha_rem_II_2[deg] alpha_rem_II_3[deg] alpha_rem_IV_1[deg] alpha_rem_IV_2[deg] alpha_rem_IV_3[deg] delta_phi_S_II[deg] delta_phi_S_IV[deg] h_fc[m] h_gap[m] mu_r_II mu_r_IV n_II n_IV phi_S_II[deg] phi_S_IV[deg]
75 1395615.58005 1426587.1054190001 0.016101 0.03879 0.6831520000000001 0.079291 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.115 0.015 0.09 0.173333333333 249.5132731821214 248.84567168336326 9.40461092084529 15.734248868900686 211.2464686937396 259.235219287471 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
76 2202075.253813 1903980.990598 0.016101 0.04249 0.815933 0.09443700000000001 1.47 1.47 850000.0 850000.0 0.2 2.0 0.115 0.015 0.09 0.18 292.1095437725972 213.12424030861774 285.5632537518141 305.03570300535307 32.504010720919105 62.698107486954406 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
77 1597275.191032 1840096.1933040002 0.016101 0.04633 0.816847 0.097425 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.115 0.015 0.09 0.18666666666700002 271.44224360386903 176.4943677138169 243.089463016995 234.54291498340285 332.98672678454545 55.01764328874615 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
78 784324.540822 1190800.133864 0.016101 0.050309 0.351633 0.030882 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.115 0.015 0.09 0.19333333333299998 191.98270977837157 25.766505259252128 42.21428366463172 161.34996427595473 140.51404793976144 134.26824196034136 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
79 1069066.0678309998 1597265.64499 0.016101 0.054428 0.674796 0.05442 1.47 1.47 850000.0 850000.0 0.22 2.0 0.115 0.015 0.09 0.2 165.3444825323665 19.964890865306735 27.070303223812186 246.8933417472944 47.76295146524674 199.19776146952492 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
80 1528640.005693 1217098.759336 0.02364 0.018614 0.309245 0.019213 1.47 1.47 850000.0 850000.0 0.16 2.0 0.125 0.015 0.09 0.14 243.63122743459903 280.8216692798693 336.52075849571537 111.25371134233306 60.051177942065046 143.99684508793138 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
81 1540609.4095879998 1868564.7459759999 0.02364 0.021616 0.540796 0.023740999999999998 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.125 0.015 0.09 0.146666666667 83.44600150671315 227.568338027627 189.84006608983785 112.72030893791944 179.46970218341468 262.9599117248782 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
82 1774446.631744 1066944.41514 0.02364 0.024756999999999998 0.6646569999999999 0.047669 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.125 0.015 0.09 0.153333333333 139.79494926173396 137.7144619638297 122.44781105400736 193.5157366397196 217.10461217788315 73.50381458121377 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
83 1532044.47734 1519861.988025 0.02364 0.028038999999999998 0.549592 0.019181 1.47 1.47 850000.0 850000.0 0.18 2.0 0.125 0.015 0.09 0.16 130.13109395632443 52.81115425558056 314.86209404605506 247.9480971940549 57.26251478883599 346.046053995728 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
84 1884054.6549479999 1555998.828391 0.02364 0.03146 0.354482 0.01655 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.125 0.015 0.09 0.166666666667 106.52326188914637 213.06230376482327 342.56427365472064 332.76059685023057 154.9097728419026 141.54055130416413 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
85 1376618.900438 1630947.974224 0.02364 0.035019999999999996 0.371286 0.046236 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.125 0.015 0.09 0.173333333333 54.532375807502824 175.3861790674527 168.64491640016243 28.033252671879733 317.4540490958312 308.32279863733316 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
86 1396159.380173 1905320.967381 0.02364 0.03872 0.605544 0.018661 1.47 1.47 850000.0 850000.0 0.2 2.0 0.125 0.015 0.09 0.18 204.8549219964077 175.13706515371223 89.78084354838383 320.42359481912536 56.22994641253413 270.0703587950926 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
87 1545983.973229 1347983.9725040002 0.02364 0.04256 0.53545 0.024975999999999998 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.125 0.015 0.09 0.18666666666700002 123.53822224656807 134.45935739716083 30.60441177736546 337.6483306819842 15.815716298928502 260.63370737342916 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
88 1712726.052041 1771730.200853 0.02364 0.046539 0.559948 0.116199 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.125 0.015 0.09 0.19333333333299998 96.77152838857616 312.67803209078244 307.3628972034553 274.75775081141376 155.4347200542923 257.66202214117675 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
89 1818194.8295540002 2119301.489982 0.02364 0.050658 0.8092630000000001 0.062618 1.47 1.47 850000.0 850000.0 0.22 2.0 0.125 0.015 0.09 0.2 166.3450780957044 127.16853227427325 356.8969606341023 41.384687141852275 357.87131623120507 129.75715821099934 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
