Case -H_Brem_II_max[A/m] -H_Brem_IV_max[A/m] A_gap[m2] A_magnet[m2] B_high[T] B_low[T] B_rem_II[T] B_rem_IV[T] H_c_II H_c_IV R_c[m] R_e[m] R_g[m] R_i[m] R_o[m] R_s[m] alpha_rem_II_1[deg] alpha_rem_II_2[deg] alpha_rem_II_3[deg] alpha_rem_IV_1[deg] alpha_rem_IV_2[deg] alpha_rem_IV_3[deg] delta_phi_S_II[deg] delta_phi_S_IV[deg] h_fc[m] h_gap[m] mu_r_II mu_r_IV n_II n_IV phi_S_II[deg] phi_S_IV[deg]
11 1838115.9434200001 1938328.657943 0.012959 0.026957 0.6800689999999999 0.037013 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.095 0.015 0.07 0.146666666667 63.32515900094253 224.72060703309663 305.6079869543996 160.23935967199563 251.4090319128978 359.3465747102338 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
12 1977633.081427 1542942.0416700002 0.012959 0.030098000000000003 0.343591 0.034282 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.095 0.015 0.07 0.153333333333 4.218461649608677 91.39324704665265 239.25055177777764 344.11331486439104 261.1803175121916 137.68502994247322 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
13 1355403.906421 1203511.5810139999 0.012959 0.033379 0.47383000000000003 0.074465 1.47 1.47 850000.0 850000.0 0.18 2.0 0.095 0.015 0.07 0.16 45.980134422798564 181.28194204535373 148.4728240515521 100.02084950556582 117.70393043281929 30.683402001070203 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
14 1175210.76701 1727415.6646369998 0.012959 0.0368 0.842942 0.009935 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.095 0.015 0.07 0.166666666667 112.03529581764515 222.56254298190206 216.65585599367486 155.03810322759117 237.71974317115948 3.670434816932322 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
15 1619838.387313 1785593.587147 0.012959 0.040361 0.614854 0.08983 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.095 0.015 0.07 0.173333333333 186.67836694974997 37.45539002371945 291.0179693015393 310.1443669203785 145.3863305284709 246.87983346914672 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
16 1597086.088558 1684550.606732 0.012959 0.044061 0.718783 0.01729 1.47 1.47 850000.0 850000.0 0.2 2.0 0.095 0.015 0.07 0.18 135.5273054497418 62.942090449180974 296.82103048518917 156.12402848210462 329.7881923193388 7.933732832539984 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
17 1722767.465284 1743762.367577 0.012959 0.047901 0.744236 0.035905 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.095 0.015 0.07 0.18666666666700002 46.746708702598845 179.25282792581513 336.9223465855157 348.61225894176977 151.337765447117 104.8767828190475 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
18 1277480.498598 2012594.8717830002 0.012959 0.051879999999999996 0.620091 0.11864100000000001 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.095 0.015 0.07 0.19333333333299998 112.5617684747683 2.6907031021287158 217.0876375231007 328.98710750173893 307.2096551322635 66.76030702458593 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
19 1572220.9644209999 1286305.637341 0.012959 0.055999 0.596414 0.092524 1.47 1.47 850000.0 850000.0 0.22 2.0 0.095 0.015 0.07 0.2 288.06430466026075 278.75670993804766 90.34502499321523 162.33628923058725 171.3577888306578 200.26321248266248 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
20 995436.338106 1402264.97242 0.019242 0.020812999999999998 0.52628 0.02462 1.47 1.47 850000.0 850000.0 0.16 2.0 0.105 0.015 0.07 0.14 342.66222227124945 354.17511932199653 32.33828025093904 73.58836629282163 351.27597385377527 5.286802865257254 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
21 2311584.485184 1385133.253883 0.019242 0.023815 0.48279099999999997 0.029216000000000002 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.105 0.015 0.07 0.146666666667 185.70702550519619 167.43312697542402 267.9416320656728 344.74755906911383 34.894869973176995 258.3344634016407 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
22 1495579.074881 1965241.488284 0.019242 0.026957 0.5576220000000001 0.024286000000000002 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.105 0.015 0.07 0.153333333333 79.81345972538931 93.31324838889118 154.38791115501004 337.05043819452203 117.94581768990332 201.3139837474817 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
23 1361569.6198729998 1528592.834381 0.019242 0.030238 0.619685 0.084176 1.47 1.47 850000.0 850000.0 0.18 2.0 0.105 0.015 0.07 0.16 93.75542404545547 119.95538847542622 22.380949118433538 252.40949673880772 227.2728150180636 332.0885261289326 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
24 1679297.415001 1797995.501809 0.019242 0.033658999999999994 0.67014 0.047915 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.105 0.015 0.07 0.166666666667 302.1218775758523 271.6089663012137 327.29971560891016 34.05608577923692 65.8601096495275 263.8167776025425 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
25 2108872.2502180003 1943095.884376 0.019242 0.037219 0.706141 0.095847 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.105 0.015 0.07 0.173333333333 336.92417162773376 124.14861424265897 99.84147314185374 142.25923502719573 272.0743370042659 268.6695933308597 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
26 784430.028144 1573152.897401 0.019242 0.040919 0.37247199999999997 0.018716999999999998 1.47 1.47 850000.0 850000.0 0.2 2.0 0.105 0.015 0.07 0.18 170.25963402272237 34.20810723133957 220.33482795958005 131.5278573166349 327.5131281917812 199.7401850954744 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
