{'R_i': 0.01,
 'h_fc': 0.005,
 'R_s': 0.1,
 'R_o': 0.04,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 4,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	K[]
55.0	16.000	1.080	0.000881
35.0	17.000	1.080	0.028473
45.0	17.000	1.080	0.001160
55.0	17.000	1.080	0.001014
35.0	18.000	1.080	0.030395
45.0	18.000	1.080	0.001238
55.0	18.000	1.080	0.001652
35.0	19.000	1.080	0.033967
45.0	19.000	1.080	0.001738
55.0	19.000	1.080	0.002267
35.0	20.000	1.080	0.037891
45.0	20.000	1.080	0.002142
55.0	20.000	1.080	0.003181
35.0	21.000	1.080	0.042626
45.0	21.000	1.080	0.003019
55.0	21.000	1.080	0.004325
35.0	22.000	1.080	0.048282
45.0	22.000	1.080	0.004883
55.0	22.000	1.080	0.005685
35.0	23.000	1.080	0.054930
45.0	23.000	1.080	0.006693
55.0	23.000	1.080	0.002705
35.0	24.000	1.080	0.059004
45.0	24.000	1.080	0.009879
55.0	24.000	1.080	0.004536
35.0	25.000	1.080	0.063530
45.0	25.000	1.080	0.013692
55.0	25.000	1.080	0.006864
35.0	15.000	1.090	0.022744
45.0	15.000	1.090	0.001385
55.0	15.000	1.090	0.000830
35.0	16.000	1.090	0.026517
45.0	16.000	1.090	0.001096
55.0	16.000	1.090	0.000885
35.0	17.000	1.090	0.029697
45.0	17.000	1.090	0.001167
55.0	17.000	1.090	0.001170
35.0	18.000	1.090	0.031771
45.0	18.000	1.090	0.001185
55.0	18.000	1.090	0.001825
35.0	19.000	1.090	0.035416
45.0	19.000	1.090	0.001916
55.0	19.000	1.090	0.002525
35.0	20.000	1.090	0.039452
45.0	20.000	1.090	0.002436
55.0	20.000	1.090	0.003454
35.0	21.000	1.090	0.044236
45.0	21.000	1.090	0.003408
55.0	21.000	1.090	0.004657
35.0	22.000	1.090	0.049935
45.0	22.000	1.090	0.005478
55.0	22.000	1.090	0.005982
35.0	23.000	1.090	0.056524
45.0	23.000	1.090	0.007438
55.0	23.000	1.090	0.003135
35.0	24.000	1.090	0.060544
45.0	24.000	1.090	0.010811
55.0	24.000	1.090	0.005096
35.0	25.000	1.090	0.065115
45.0	25.000	1.090	0.014784
55.0	25.000	1.090	0.007559
35.0	15.000	1.100	0.023618
45.0	15.000	1.100	0.001356
55.0	15.000	1.100	0.000727
35.0	16.000	1.100	0.027639
45.0	16.000	1.100	0.001080
55.0	16.000	1.100	0.000945
35.0	17.000	1.100	0.030955
45.0	17.000	1.100	0.001189
55.0	17.000	1.100	0.001253
35.0	18.000	1.100	0.033041
45.0	18.000	1.100	0.001293
55.0	18.000	1.100	0.001973
35.0	19.000	1.100	0.037029
45.0	19.000	1.100	0.002197
55.0	19.000	1.100	0.002770
35.0	20.000	1.100	0.041036
45.0	20.000	1.100	0.002729
55.0	20.000	1.100	0.003760
35.0	21.000	1.100	0.045873
45.0	21.000	1.100	0.003878
55.0	21.000	1.100	0.004943
35.0	22.000	1.100	0.051632
45.0	22.000	1.100	0.006125
55.0	22.000	1.100	0.002035
35.0	23.000	1.100	0.058094
45.0	23.000	1.100	0.008226
55.0	23.000	1.100	0.003549
35.0	24.000	1.100	0.062118
45.0	24.000	1.100	0.011770
55.0	24.000	1.100	0.005670
35.0	25.000	1.100	0.066695
45.0	25.000	1.100	0.015911
55.0	25.000	1.100	0.008297
35.0	15.000	1.110	0.024528
45.0	15.000	1.110	0.001360
55.0	15.000	1.110	0.000760
35.0	16.000	1.110	0.028726
45.0	16.000	1.110	0.001088
55.0	16.000	1.110	0.001037
35.0	17.000	1.110	0.032235
45.0	17.000	1.110	0.001215
55.0	17.000	1.110	0.001425
35.0	18.000	1.110	0.034446
45.0	18.000	1.110	0.001419
55.0	18.000	1.110	0.002165
35.0	19.000	1.110	0.038309
45.0	19.000	1.110	0.002440
55.0	19.000	1.110	0.003021
35.0	20.000	1.110	0.042528
45.0	20.000	1.110	0.003076
55.0	20.000	1.110	0.004071
35.0	21.000	1.110	0.047489
45.0	21.000	1.110	0.004372
55.0	21.000	1.110	0.005261
35.0	22.000	1.110	0.053272
45.0	22.000	1.110	0.006803
55.0	22.000	1.110	0.002344
35.0	23.000	1.110	0.059658
45.0	23.000	1.110	0.009056
55.0	23.000	1.110	0.004027
35.0	24.000	1.110	0.063640
45.0	24.000	1.110	0.012766
55.0	24.000	1.110	0.006248
35.0	25.000	1.110	0.068372
45.0	25.000	1.110	0.017066
55.0	25.000	1.110	0.009072
35.0	15.000	1.120	0.025454
45.0	15.000	1.120	0.001333
55.0	15.000	1.120	0.000770
35.0	16.000	1.120	0.029864
45.0	16.000	1.120	0.001026
55.0	16.000	1.120	0.001117
35.0	17.000	1.120	0.033507
45.0	17.000	1.120	0.001255
55.0	17.000	1.120	0.001555
35.0	18.000	1.120	0.035858
45.0	18.000	1.120	0.001599
55.0	18.000	1.120	0.002368
35.0	19.000	1.120	0.039778
45.0	19.000	1.120	0.002662
55.0	19.000	1.120	0.003293
35.0	20.000	1.120	0.044065
45.0	20.000	1.120	0.003495
55.0	20.000	1.120	0.004378
35.0	21.000	1.120	0.049155
45.0	21.000	1.120	0.004919
55.0	21.000	1.120	0.001537
35.0	22.000	1.120	0.054892
45.0	22.000	1.120	0.007519
55.0	22.000	1.120	0.002680
35.0	23.000	1.120	0.061185
45.0	23.000	1.120	0.009917
55.0	23.000	1.120	0.004524
35.0	24.000	1.120	0.065138
45.0	24.000	1.120	0.013797
55.0	24.000	1.120	0.006888
35.0	25.000	1.120	0.069902
45.0	25.000	1.120	0.018244
55.0	25.000	1.120	0.009867
35.0	15.000	1.130	0.026416
45.0	15.000	1.130	0.001217
55.0	15.000	1.130	0.000766
35.0	16.000	1.130	0.031032
45.0	16.000	1.130	0.001166
55.0	16.000	1.130	0.001209
35.0	17.000	1.130	0.034821
45.0	17.000	1.130	0.001435
55.0	17.000	1.130	0.001708
35.0	18.000	1.130	0.037251
45.0	18.000	1.130	0.001937
55.0	18.000	1.130	0.002584
35.0	19.000	1.130	0.041263
45.0	19.000	1.130	0.002992
55.0	19.000	1.130	0.003555
35.0	20.000	1.130	0.045633
45.0	20.000	1.130	0.003927
55.0	20.000	1.130	0.004641
35.0	21.000	1.130	0.050746
45.0	21.000	1.130	0.005497
55.0	21.000	1.130	0.001780
35.0	22.000	1.130	0.056475
45.0	22.000	1.130	0.008275
55.0	22.000	1.130	0.003124
35.0	23.000	1.130	0.062694
45.0	23.000	1.130	0.010819
55.0	23.000	1.130	0.005053
35.0	24.000	1.130	0.066642
45.0	24.000	1.130	0.014857
55.0	24.000	1.130	0.007555
35.0	25.000	1.130	0.071448
45.0	25.000	1.130	0.019450
55.0	25.000	1.130	0.010692
35.0	15.000	1.140	0.027400
45.0	15.000	1.140	0.001304
55.0	15.000	1.140	0.000957
35.0	16.000	1.140	0.032204
45.0	16.000	1.140	0.001169
55.0	16.000	1.140	0.001311
35.0	17.000	1.140	0.036151
45.0	17.000	1.140	0.001563
55.0	17.000	1.140	0.001863
35.0	18.000	1.140	0.038550
45.0	18.000	1.140	0.002149
55.0	18.000	1.140	0.002808
35.0	19.000	1.140	0.042759
45.0	19.000	1.140	0.003300
55.0	19.000	1.140	0.003836
35.0	20.000	1.140	0.047194
45.0	20.000	1.140	0.004401
55.0	20.000	1.140	0.004944
35.0	21.000	1.140	0.052391
45.0	21.000	1.140	0.006114
55.0	21.000	1.140	0.002077
35.0	22.000	1.140	0.058029
45.0	22.000	1.140	0.009063
55.0	22.000	1.140	0.003500
35.0	23.000	1.140	0.064192
45.0	23.000	1.140	0.011752
55.0	23.000	1.140	0.005622
35.0	24.000	1.140	0.068165
45.0	24.000	1.140	0.015944
55.0	24.000	1.140	0.008257
35.0	25.000	1.140	0.072994
45.0	25.000	1.140	0.020679
55.0	25.000	1.140	0.011547
35.0	15.000	1.150	0.028410
45.0	15.000	1.150	0.001271
55.0	15.000	1.150	0.000885
35.0	16.000	1.150	0.033409
45.0	16.000	1.150	0.001269
55.0	16.000	1.150	0.001491
35.0	17.000	1.150	0.037557
45.0	17.000	1.150	0.001741
55.0	17.000	1.150	0.002032
35.0	18.000	1.150	0.040070
45.0	18.000	1.150	0.002380
55.0	18.000	1.150	0.003061
35.0	19.000	1.150	0.044497
45.0	19.000	1.150	0.003666
55.0	19.000	1.150	0.004124
35.0	20.000	1.150	0.048764
45.0	20.000	1.150	0.004917
55.0	20.000	1.150	0.001279
35.0	21.000	1.150	0.054037
45.0	21.000	1.150	0.006779
55.0	21.000	1.150	0.002394
35.0	22.000	1.150	0.059566
45.0	22.000	1.150	0.009893
55.0	22.000	1.150	0.003975
35.0	23.000	1.150	0.065657
45.0	23.000	1.150	0.012717
55.0	23.000	1.150	0.006202
35.0	24.000	1.150	0.069796
45.0	24.000	1.150	0.017060
55.0	24.000	1.150	0.008989
35.0	25.000	1.150	0.074533
45.0	25.000	1.150	0.021930
55.0	25.000	1.150	0.012429
35.0	15.000	1.160	0.029464
45.0	15.000	1.160	0.001211
55.0	15.000	1.160	0.000972
35.0	16.000	1.160	0.034650
45.0	16.000	1.160	0.001417
55.0	16.000	1.160	0.001622
35.0	17.000	1.160	0.038833
45.0	17.000	1.160	0.001983
55.0	17.000	1.160	0.002224
35.0	18.000	1.160	0.041557
45.0	18.000	1.160	0.002643
55.0	18.000	1.160	0.003317
35.0	19.000	1.160	0.045775
45.0	19.000	1.160	0.004089
55.0	19.000	1.160	0.004395
35.0	20.000	1.160	0.050332
45.0	20.000	1.160	0.005467
55.0	20.000	1.160	0.001516
35.0	21.000	1.160	0.056206
45.0	21.000	1.160	0.007462
55.0	21.000	1.160	0.002755
35.0	22.000	1.160	0.061064
45.0	22.000	1.160	0.010745
55.0	22.000	1.160	0.004415
35.0	23.000	1.160	0.067142
45.0	23.000	1.160	0.013711
55.0	23.000	1.160	0.006823
35.0	24.000	1.160	0.071282
45.0	24.000	1.160	0.018200
55.0	24.000	1.160	0.009755
35.0	25.000	1.160	0.076080
45.0	25.000	1.160	0.023201
55.0	25.000	1.160	0.013337
35.0	15.000	1.170	0.030517
45.0	15.000	1.170	0.001258
55.0	15.000	1.170	0.001052
35.0	16.000	1.170	0.035877
45.0	16.000	1.170	0.001579
55.0	16.000	1.170	0.001698
35.0	17.000	1.170	0.040232
45.0	17.000	1.170	0.002306
55.0	17.000	1.170	0.002418
35.0	18.000	1.170	0.042992
45.0	18.000	1.170	0.002961
55.0	18.000	1.170	0.003552
35.0	19.000	1.170	0.047291
45.0	19.000	1.170	0.004517
55.0	19.000	1.170	0.004678
35.0	20.000	1.170	0.051915
45.0	20.000	1.170	0.006071
55.0	20.000	1.170	0.001756
35.0	21.000	1.170	0.057827
