{'R_i': 0.015,
 'h_fc': 0.005,
 'R_o': 0.04,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 4,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'B_rem_II_1': 1.3999999999999999,
 'B_rem_II_2': 1.3999999999999999,
 'B_rem_IV_1': 1.3999999999999999,
 'B_rem_IV_2': 1.3999999999999999,
 'B_rem_IV_3': 1.3999999999999999,
 'B_rem_IV_4': 1.3999999999999999,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	R_s[mm]	K[]
45.0	17.000	1.130	100.000	0.001656
55.0	17.000	1.130	90.000	0.001463
45.0	18.000	1.130	100.000	0.001913
55.0	18.000	1.130	110.000	0.001687
45.0	19.000	1.130	105.000	0.001626
55.0	19.000	1.130	115.000	0.001834
45.0	20.000	1.130	110.000	0.001100
55.0	20.000	1.130	100.000	0.001409
45.0	21.000	1.130	110.000	0.001525
55.0	21.000	1.130	130.000	0.001736
45.0	22.000	1.130	115.000	0.001402
55.0	22.000	1.130	135.000	0.001983
45.0	23.000	1.130	115.000	0.001825
55.0	23.000	1.130	150.000	0.002032
45.0	24.000	1.130	120.000	0.001685
55.0	24.000	1.130	150.000	0.002300
45.0	25.000	1.130	125.000	0.001756
55.0	25.000	1.130	150.000	0.002862
45.0	15.000	1.140	95.000	0.001736
55.0	15.000	1.140	95.000	0.001865
45.0	16.000	1.140	100.000	0.001275
55.0	16.000	1.140	100.000	0.001866
45.0	17.000	1.140	100.000	0.001778
55.0	17.000	1.140	90.000	0.001792
45.0	18.000	1.140	105.000	0.001495
55.0	18.000	1.140	95.000	0.001152
45.0	19.000	1.140	105.000	0.001857
55.0	19.000	1.140	115.000	0.001993
45.0	20.000	1.140	110.000	0.001210
55.0	20.000	1.140	100.000	0.001659
45.0	21.000	1.140	110.000	0.001720
55.0	21.000	1.140	130.000	0.001884
45.0	22.000	1.140	115.000	0.001515
55.0	22.000	1.140	140.000	0.001914
45.0	23.000	1.140	120.000	0.001576
55.0	23.000	1.140	150.000	0.002080
45.0	24.000	1.140	120.000	0.001887
55.0	24.000	1.140	150.000	0.002342
45.0	25.000	1.140	125.000	0.001793
55.0	25.000	1.140	150.000	0.002970
45.0	15.000	1.150	95.000	0.001852
55.0	15.000	1.150	100.000	0.001341
45.0	16.000	1.150	100.000	0.001384
55.0	16.000	1.150	90.000	0.000927
45.0	17.000	1.150	100.000	0.001891
55.0	17.000	1.150	105.000	0.001936
45.0	18.000	1.150	105.000	0.001583
55.0	18.000	1.150	95.000	0.001342
45.0	19.000	1.150	110.000	0.001262
55.0	19.000	1.150	120.000	0.001681
45.0	20.000	1.150	110.000	0.001330
55.0	20.000	1.150	100.000	0.001974
45.0	21.000	1.150	110.000	0.001948
55.0	21.000	1.150	105.000	0.001618
45.0	22.000	1.150	115.000	0.001645
55.0	22.000	1.150	140.000	0.001941
45.0	23.000	1.150	120.000	0.001541
55.0	23.000	1.150	150.000	0.002073
45.0	24.000	1.150	125.000	0.001623
55.0	24.000	1.150	150.000	0.002459
45.0	25.000	1.150	130.000	0.001806
55.0	25.000	1.150	150.000	0.003126
45.0	15.000	1.160	95.000	0.001872
55.0	15.000	1.160	100.000	0.001399
45.0	16.000	1.160	100.000	0.001511
55.0	16.000	1.160	90.000	0.001112
45.0	17.000	1.160	105.000	0.001134
55.0	17.000	1.160	110.000	0.001553
45.0	18.000	1.160	105.000	0.001674
55.0	18.000	1.160	95.000	0.001610
45.0	19.000	1.160	110.000	0.001472
