Teste	H[mm]	Hmax[T]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wasco[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
16	20	1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	25.31800154	33.91848687	56.11082253	62.81755729	13.68637896	20.16	5.20978245	1.436670182	-592.2537945
16	20	1	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	34.66955669	34.0322094	-10.24066038	0.99123277	14.80638731	20.16	-1.34826475	-0.30461726	-552.7655095
17	20	1.1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	16.71924101	32.80279608	110.8738404	111.9081807	12.71587747	20.16	6.59030666	2.809337735	-811.88356
17	20	1.1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	23.43684524	36.23944037	84.7991373	92.33880558	13.68637896	20.16	7.23849585	2.063998922	-724.656035
17	20	1.1														20.16		0	
18	20	1.2	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	15.63093904	34.10740113	127.4379528	128.485273	12.71587747	20.16	7.05450826	3.191503175	-936.2182947
18	20	1.2	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	21.91210681	38.12754503	108.0471643	116.3610831	13.68637896	20.16	8.57531628	2.546978939	-874.5726427
18	20	1.2														20.16		0	
19	22	1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	17.44181288	31.87597725	99.53887902	100.6719579	13.98746521	20.16	6.1881584	2.467765962	-758.1813781
19	22	1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	24.673077	34.70905288	65.72888447	73.26140637	15.05501685	20.16	5.93331169	1.597364627	-662.6143571
19	22	1														20.16		0	
20	22	1.1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	16.13636609	33.42382124	119.3480231	120.4423864	13.98746521	20.16	6.83253588	2.912347973	-905.8537512
20	22	1.1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	22.73878573	37.07199799	95.13030972	103.4739559	15.05501685	20.16	7.85852716	2.208555435	-821.215953
20	22	1.1														20.16		0	
21	22	1.2	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	15.02572274	34.7410973	136.1918021	137.2691518	13.98746521	20.16	7.23168295	3.291314784	-1038.489856
21	22	1.2	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	21.25176109	38.89759216	117.7265748	126.8234481	15.05501685	20.16	9.04033591	2.660165775	-993.7069432
21	22	1.2														20.16		0	
