{'R_i': 0.015,
 'h_fc': 0.005,
 'R_s': 0.11,
 'R_o': 0.05,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 3,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	K[]
35.0	24.000	1.170	3.421
45.0	24.000	1.170	0.803
55.0	24.000	1.170	0.563
35.0	25.000	1.170	3.654
45.0	25.000	1.170	1.022
55.0	25.000	1.170	0.749
35.0	15.000	1.180	1.865
45.0	15.000	1.180	0.132
55.0	15.000	1.180	0.286
35.0	16.000	1.180	1.966
45.0	16.000	1.180	0.124
55.0	16.000	1.180	0.350
35.0	17.000	1.180	2.063
45.0	17.000	1.180	0.112
55.0	17.000	1.180	0.428
35.0	18.000	1.180	2.203
45.0	18.000	1.180	0.138
55.0	18.000	1.180	0.514
35.0	19.000	1.180	2.381
45.0	19.000	1.180	0.175
55.0	19.000	1.180	0.615
35.0	20.000	1.180	2.571
45.0	20.000	1.180	0.261
55.0	20.000	1.180	0.111
35.0	21.000	1.180	2.995
45.0	21.000	1.180	0.356
55.0	21.000	1.180	0.193
35.0	22.000	1.180	3.131
45.0	22.000	1.180	0.504
55.0	22.000	1.180	0.307
35.0	23.000	1.180	3.311
45.0	23.000	1.180	0.649
55.0	23.000	1.180	0.443
35.0	24.000	1.180	3.498
45.0	24.000	1.180	0.865
55.0	24.000	1.180	0.613
35.0	25.000	1.180	3.736
45.0	25.000	1.180	1.091
55.0	25.000	1.180	0.805
35.0	15.000	1.190	1.916
45.0	15.000	1.190	0.132
55.0	15.000	1.190	0.304
35.0	16.000	1.190	2.021
45.0	16.000	1.190	0.123
55.0	16.000	1.190	0.372
35.0	17.000	1.190	2.124
45.0	17.000	1.190	0.117
55.0	17.000	1.190	0.453
35.0	18.000	1.190	2.269
45.0	18.000	1.190	0.153
